ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,328,334,1103838,679,1132615,312,327,889597,667,928654,125,131,862371,262,862371,140,147,1255773,297,1276416,59,60,450413,120,450413
00100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,340,347,779957,737,840044,376,387,1072824,821,1138754,283,311,1890904,640,1977239,12,13,90420,22,91520,163,175,2830735,347,2830735
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,80,80,137684,80,137684,43,43,98156,43,98156,46,48,300572,48,300572,13,14,61638,14,61638,14,15,121014,15,121014
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,282,286,712319,598,773831,227,238,579490,504,631599,44,48,338038,97,348288,111,117,635339,240,683608,94,98,723124,196,723531
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,35,35,85050,92,124225,30,32,71543,73,84040,-,-, -,-, -,1,1,5083,2,5083,-,-, -,-, -
00100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,115,116,277516,222,483017,138,138,418802,241,686454,48,49,253894,85,503679,2,2,13427,3,15182,-,-, -,-, -
00100900,AUBURN UNIVERSITY,AL,368495113,Public,501,504,1231710,545,1248460,377,377,1054894,425,1065207,376,376,2769087,415,2846437,216,225,2768219,241,2793265,217,230,3018642,253,3045447
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,29,29,105482,65,108232,32,34,99626,75,103376,-,-, -,-, -,3,3,24783,3,24783,-,-, -,-, -
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,72,73,199471,221,338854,67,67,151392,202,339784,-,-, -,-, -,2,2,7610,3,7610,-,-, -,-, -
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,33,34,81430,92,126040,22,22,51889,65,96866,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,166,166,285525,278,294467,112,113,265189,195,269730,215,217,1055681,368,1113697,17,17,69751,33,69751,29,29,163216,49,163216
00101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,1,1,3500,8,12248,4,4,15000,9,29850,1,1,3500,5,30832,3,3,19200,11,63746,0,0,0,3,15058
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,316,319,633374,326,633374,179,182,432168,192,432168,317,317,1357867,318,1357867,54,55,211672,56,212172,20,20,122830,20,122830
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,164,164,412758,437,634954,156,161,328361,346,364110,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,301,305,479903,405,647818,195,196,474398,288,700725,546,565,3652814,2030,13115849,15,15,81187,16,92744,47,49,323204,151,1087314
00102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,212,212,402207,424,402207,96,96,150091,192,150091,-,-, -,-, -,3,3,8462,6,8462,-,-, -,-, -
00102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,28,29,72930,65,79504,24,26,81535,55,90660,36,36,255472,72,255472,6,6,54159,14,62766,15,15,126982,30,126982
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,34,35,93676,85,121301,22,22,46000,47,48785,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,71,71,277909,185,421648,85,88,305697,214,434110,3,3,56434,9,97434,12,12,151812,28,240088,-,-, -,-, -
00103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,7,7,19760,8,19760,13,14,57393,16,57393,343,344,2130509,344,2130509,16,18,164333,18,164333,500,504,6152809,505,6152809
00103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,18,18,43712,50,66341,14,14,44111,40,69523,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,69,70,145177,149,185098,61,61,151901,133,201411,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,28,29,42619,29,42619,13,14,46186,14,46186,9,9,54657,22,139570,17,17,89459,17,89459,1,1,13555,1,13555
00104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,34,35,95037,71,97787,32,33,69820,67,73320,-,-, -,-, -,7,7,36527,14,36527,-,-, -,-, -
00104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,14,14,46042,33,64170,13,13,58545,34,83983,10,10,104367,36,186009,2,2,15182,8,24382,1,1,7695,14,66860
