ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,3108,3211,12392703,5952,11808052,3097,3589,11445808,6682,10836611,523,593,8686874,1078,7976855,1214,1370,18735822,2639,18279099,132,170,1595265,319,1523310
00100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,964,1434,3697890,2832,3697890,1038,1600,4663649,3172,4663649,892,1381,15110261,2763,15110261,121,145,1298786,261,1298786,401,704,12691291,1406,12691291
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,836,911,3218479,1660,3218479,988,1066,3607205,1984,3607205,200,237,2968589,400,2968589,205,253,2822204,479,2822204,24,28,216359,38,216359
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,1970,2060,7574850,3892,7574100,1916,2272,6846832,4306,6844832,456,496,7374760,941,7362575,660,730,7952615,1404,7952615,186,252,2164103,486,2162213
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,370,396,1106006,690,1106006,109,139,348743,263,348743,-,-, -,-, -,1,1,23553,2,23553,-,-, -,-, -
00100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,998,1101,3978350,1707,3978350,914,999,5097507,1557,5097507,276,308,4118219,493,4118219,5,6,49329,8,49329,21,21,269330,28,269330
00100900,AUBURN UNIVERSITY,AL,368495113,Public,5001,5334,20859376,9662,20859376,6456,6615,24607018,12280,24607018,1703,1980,42151932,3510,42151932,1926,2309,54686269,3971,54686269,596,813,14213547,1304,14213547
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,242,246,1039262,460,1004244,298,312,1076624,585,1036642,-,-, -,-, -,108,133,2026218,208,2004271,-,-, -,-, -
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,1431,1451,4287559,2393,4287559,1415,1434,5647120,2362,5647120,-,-, -,-, -,14,17,102205,33,102205,-,-, -,-, -
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,451,493,1459823,859,1459823,415,441,1649359,759,1649359,-,-, -,-, -,3,3,41403,6,41403,-,-, -,-, -
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,1762,1867,6722796,3405,6722796,1821,1951,7474866,3630,7474866,1306,1491,17829622,2743,17829622,256,266,3191507,511,3191507,91,104,674870,194,674870
00101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,476,476,1853718,864,1853718,611,647,2055429,1175,2055429,10,10,129165,15,129165,189,189,2638683,361,2638683,1,1,8909,1,8909
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,3256,3537,13039611,5931,12529578,3320,3639,12806970,6269,12337731,837,946,13240551,1426,12063905,736,867,7683237,1386,7460789,62,67,462774,76,440868
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,1688,1739,6063596,2884,5221122,1485,1533,7151985,2572,6121068,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,1977,2243,7066971,3558,7066971,1812,2013,7948776,3258,7948776,3202,3486,42542938,6662,42542938,134,169,1571331,253,1571331,289,338,5047112,680,5047112
00102600,MARION MILITARY INSTITUTE,AL,367563214,Public,91,95,229139,157,229139,106,116,315461,204,315461,-,-, -,-, -,11,14,48027,24,48027,-,-, -,-, -
00102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,843,919,3243315,1680,3204683,846,888,2949881,1596,2891118,-,-, -,-, -,250,267,2214028,518,2167981,-,-, -,-, -
00102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,502,510,1945542,909,1945542,594,630,2254738,1130,2254738,129,137,2219087,288,2219087,127,133,1564151,221,1564151,41,46,947474,109,947474
00103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,409,426,1250909,730,1250909,87,106,295893,193,295893,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,691,693,2929253,1248,2904556,707,764,2436504,1372,2404576,27,27,498944,43,427194,183,206,2860280,372,2850280,-,-, -,-, -
00103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,684,686,2871924,1276,2871924,895,899,3430449,1679,3430449,1215,1403,26386408,2371,26386408,403,461,10011173,812,10011173,917,1501,27523298,2242,27523298
00103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,300,309,894866,507,894866,273,293,1106119,483,1106119,-,-, -,-, -,6,7,35189,10,35189,-,-, -,-, -
00104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,964,990,2805322,1662,2805322,658,715,1908902,1230,1908902,-,-, -,-, -,45,48,341283,89,341283,-,-, -,-, -
00104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,284,309,1102314,549,1102314,348,381,1309948,691,1309948,38,40,580648,80,580648,99,112,1494143,181,1494143,7,7,91531,9,91531
00104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,483,495,1750505,938,1750505,473,524,1686259,991,1686259,-,-, -,-, -,88,96,791967,184,791967,-,-, -,-, -
00104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,472,473,1833203,845,1833203,471,471,1940597,838,1940597,55,55,996020,114,996020,135,135,1476353,256,1476353,12,12,66500,23,66500
00104700,TROY UNIVERSITY,AL,360820001,Public,4594,5068,16562804,10838,16562804,4708,5198,19313673,11101,19313673,1632,1872,23501411,4395,23501411,504,651,6219588,1056,6219588,233,293,2117369,555,2117369
00105000,TUSKEGEE UNIVERSITY,AL,360881645,Private-Nonprofit,1166,1206,4695138,2347,4695138,1208,1369,3904537,2591,3904537,276,317,9554151,617,9554151,505,622,10930421,1221,10930421,207,274,6282831,542,6282831
00105100,UNIVERSITY OF ALABAMA,AL,354870120,Public,8227,8610,32695897,15195,32695897,10215,10782,38209655,19492,38209655,1917,2161,29355579,3512,29355579,3163,3683,94305430,6434,94305430,393,510,5960103,736,5960103
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,Public,4236,4576,16201530,7856,16201530,4607,4942,17841325,8584,17841325,3682,4121,83063610,7892,83063610,757,1058,12564462,1588,12564462,1187,1702,31306395,2745,31306395
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,Public,1716,1874,6828115,3101,6828115,1954,2065,8307387,3522,8307387,327,393,4336398,534,4336398,286,339,4318450,553,4318450,32,43,371982,53,371982
00105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,Public,3668,4142,14417586,6944,14417375,3823,4210,14580898,7322,14580898,2848,3284,51188740,5619,51178490,1345,1576,20049668,2684,20036020,1191,1665,17182671,2500,17130148
00106000,COASTAL ALABAMA COMMUNITY COLLEGE,AL,365072698,Public,1715,1763,5565084,3081,5565084,1579,1621,5971569,2829,5971569,-,-, -,-, -,26,26,238223,52,238223,-,-, -,-, -
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,Private-Nonprofit,188,188,604249,273,604249,191,191,885595,283,885595,37,37,503365,57,503365,4,4,42000,5,42000,4,4,51420,6,51420
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,Public,909,967,3155006,1475,3155006,950,1032,4366878,1605,4366878,144,166,1991153,263,1991153,28,32,406769,53,406769,8,15,84677,19,84677
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,Public,177,177,669546,297,643198,180,180,844050,302,809684,74,74,1072648,120,1018093,26,26,452771,47,443771,17,17,145490,24,133273
00107100,ARIZONA WESTERN COLLEGE,AZ,853650000,Public,46,46,129623,133,129623,31,31,104364,89,104364,-,-, -,-, -,5,5,63860,18,63860,-,-, -,-, -
00107200,COCHISE COLLEGE,AZ,856352317,Public,233,241,742551,422,742551,206,213,839783,381,839783,-,-, -,-, -,5,6,114052,11,114052,-,-, -,-, -
00107400,GRAND CANYON UNIVERSITY,AZ,850173030,Proprietary,49688,53374,192843158,98001,192681462,47125,50872,225864176,94052,225659787,35945,41104,546708059,84203,546488388,2582,2874,38513473,4985,38513473,1405,1596,22507904,3513,22481357
00107600,GLENDALE COMMUNITY COLLEGE,AZ,853023090,Public,1110,1169,3044271,2027,3044271,336,357,1030098,660,1030098,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00107700,MESA COMMUNITY COLLEGE,AZ,852024866,Public,1405,1513,3801672,2611,3801672,449,487,1367047,909,1367047,-,-, -,-, -,12,13,134586,23,134586,-,-, -,-, -
00107800,PHOENIX COLLEGE,AZ,850134234,Public,911,1038,2681996,1849,2681996,349,425,1174166,765,1174166,-,-, -,-, -,6,7,79148,12,79148,-,-, -,-, -
00107900,YAVAPAI COLLEGE,AZ,863013297,Public,342,371,1162455,696,1162455,306,348,1188067,653,1188067,-,-, -,-, -,4,5,36790,10,36790,-,-, -,-, -
00108100,ARIZONA STATE UNIVERSITY,AZ,852870412,Public,35000,38771,139864791,61932,139864791,35136,39131,168118957,64115,168118957,12146,15081,190638901,22874,190638901,7989,9428,186464528,16725,186464528,6203,8495,99399677,13108,99399677
00108200,NORTHERN ARIZONA UNIVERSITY,AZ,860110001,Public,6116,6360,24180120,10979,24180120,6272,6560,24777969,11564,24777969,1888,2077,32073081,3359,32073081,2010,2141,35184305,3866,35184305,727,1006,16405845,1535,16405845
00108300,UNIVERSITY OF ARIZONA (THE),AZ,857210066,Public,8681,9347,33698457,15853,33698457,9321,10082,40448843,17713,40448843,3514,4304,91013822,7761,91013822,3637,4483,87600018,8239,87600018,1450,2386,35943468,4232,35943468
00108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,716560000,Public,914,1013,3467932,1852,3467932,857,953,3645854,1743,3645854,367,472,5464347,887,5464347,46,54,368677,100,368677,36,36,277858,71,277858
