ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,3223,3255,12704566,6079,12275177,3166,3546,12042488,6670,11605265,548,584,9357515,1056,8722062,1263,1356,20263760,2627,20130339,169,201,1920735,385,1875036
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,885,1325,3278168,2361,3001195,946,1421,4288422,2519,3835398,954,1457,16007433,2720,15217886,90,98,853875,184,849375,440,883,13327256,1934,13270412
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,822,869,3173478,1571,3173478,933,992,3386433,1846,3386433,190,233,2904969,410,2904969,161,191,2060315,359,2060315,21,26,177044,37,177044
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,2069,2126,7926451,4010,7920451,2014,2419,7239544,4574,7231195,423,453,7062452,853,7021508,707,748,10150436,1448,10128278,164,214,2432539,413,2431039
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,360,371,1125646,713,963202,93,108,322682,208,278522,,,,,,,,,,,,,,,
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,979,1016,4118129,1680,3991557,927,960,5463695,1587,5313785,267,286,3964614,456,3864064,21,21,159958,31,159958,18,22,302510,35,291436
100900,AUBURN UNIVERSITY,AL,368495113,Public,4513,4699,19060125,8676,19060125,6358,6475,26013397,12131,26013397,1636,1884,40948552,3335,40948552,2004,2405,58783846,4094,58783846,596,806,15889761,1289,15889761
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,1335,1346,4291016,2167,3965006,1316,1334,5774892,2161,5335819,,,,,,29,30,197350,53,190313,,,,,
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,439,458,1475536,734,1342270,414,435,1822882,704,1645123,,,,,,3,3,23443,5,23443,,,,,
101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,1653,1727,6454105,3095,6271916,1742,1848,7353774,3369,7090321,1249,1391,17631217,2379,16688710,270,284,3378128,529,3305342,97,108,727612,161,593483
101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,484,484,1945449,877,1945449,615,647,2079211,1183,2079211,15,15,237339,31,237339,159,159,2311516,282,2311516,3,3,26000,8,26000
102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,3116,3357,12409694,5719,12023925,3026,3346,11631731,5811,11290312,780,894,12564015,1319,11472206,744,859,8766736,1387,8529628,58,65,521121,83,508625
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,1735,1786,5857865,2643,4606015,499,575,1754976,863,1390544,,,,,,,,,,,,,,,
102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,2125,2377,8423843,3877,7814686,1930,2135,9411119,3501,8620647,3087,3342,48245564,6501,41287838,137,181,1624237,269,1589550,306,334,7033078,711,6362200
102600,MARION MILITARY INSTITUTE,AL,367563214,Public,83,87,212471,152,212471,106,127,328034,219,328034,,,,,,24,34,197338,63,195338,,,,,
102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,883,950,3497856,1702,3340833,883,926,3347174,1634,3154965,,,,,,250,259,2122629,486,2094129,,,,,
102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,530,538,2113598,970,2056559,583,607,2190656,1111,2122161,143,149,2503840,314,2319332,135,151,1847777,251,1839737,46,52,1269491,122,1269491
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,361,386,1143204,637,1114077,91,106,357698,196,346573,,,,,,,,,,,,,,,
103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,596,599,2557992,1097,2508242,626,687,2452822,1271,2409322,38,38,721297,70,721297,148,165,2242147,293,2199554,2,3,22500,4,18979
103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,718,723,3069961,1339,3047989,988,997,3931950,1858,3916548,1108,1317,24356817,2223,24211067,431,495,10793239,861,10756263,850,1385,24971471,2076,24878289
103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,237,244,702601,378,664792,225,237,900448,376,853905,,,,,,3,3,11400,5,11400,,,,,
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,858,874,2579660,1470,2514910,319,370,998006,665,983006,,,,,,59,66,508435,123,505435,,,,,
