ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,166,168,341931,316,354139,109,111,266439,199,279477,125,127,858275,249,858275,64,66,559741,120,559741,43,45,282790,89,282790
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,380,395,1016986,860,1088176,434,464,1297130,1013,1391458,327,372,2234861,766,2304793,10,10,53471,15,53471,88,92,1092620,178,1092620
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,69,69,102812,69,102812,39,39,95660,39,95660,66,67,368421,68,368421,7,7,31317,7,31317,17,17,136720,17,136720
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,314,317,864317,630,870312,261,268,584043,530,594174,51,53,368688,105,389188,81,84,391011,171,421349,83,83,636491,167,639757
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,28,29,63674,57,65424,38,40,107097,82,109347,,,,,,,,,,,,,,,
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,98,98,213213,216,442884,108,108,305145,234,654673,30,30,161379,60,364377,6,6,29876,11,43312,,,,,
100900,AUBURN UNIVERSITY,AL,368495113,Public,615,617,1517052,658,1530552,411,412,1222181,486,1256624,432,432,3236136,473,3305490,216,231,2689517,246,2704517,185,194,2513170,212,2513170
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,4,4,17250,7,17250,5,5,26540,11,26540,,,,,,1,1,26024,3,26024,,,,,
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,63,63,162004,186,274175,58,58,154087,186,341897,,,,,,2,2,3650,4,3650,,,,,
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,40,41,83388,106,129146,41,42,113635,101,167513,,,,,,,,,,,,,,,
101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,133,133,208597,258,216511,98,98,241909,193,250349,173,175,803538,365,885975,19,19,66869,36,66869,17,17,88328,33,88328
101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,2,2,7690,41,70586,7,7,34632,45,135339,4,4,52526,4,52526,2,2,7195,9,40983,,,,,
102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,263,263,470668,263,470668,189,189,420018,189,420018,379,380,1536286,380,1536286,44,44,175344,44,175344,23,23,117533,23,117533
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,187,188,445704,445,615360,151,159,329557,343,379396,,,,,,,,,,,,,,,
102300,JUDSON COLLEGE,AL,367562504,Private-Nonprofit,1,1,2750,4,3750,3,3,5000,10,9000,,,,,,0,0,0,5,12450,,,,,
102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,262,265,506323,356,661774,182,188,462858,264,629230,519,536,3601554,2176,13823374,16,16,106083,18,112333,60,62,330504,168,1027836
102600,MARION MILITARY INSTITUTE,AL,367563214,Public,3,3,5250,6,5250,11,13,40640,22,40640,,,,,,3,3,13298,5,13298,,,,,
102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,104,104,140729,208,140729,83,85,119071,169,119071,,,,,,6,6,14603,12,14603,,,,,
102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,23,23,57732,52,66167,25,25,80378,60,93076,41,43,299176,89,312843,5,5,17457,12,23199,9,10,50315,20,50315
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,26,26,62975,64,86524,16,16,26206,35,34841,,,,,,,,,,,,,,,
