ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,2547,2636,9884198,4914,9884198,2389,2592,7635849,4849,7635849,601,700,8647865,1287,8647865,714,770,9620933,1487,9620933,134,165,1250099,305,1250099
00100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,1130,1694,4472853,3305,4472853,1205,1888,5034159,3686,5034159,801,1255,11783565,2488,11783565,162,189,1732560,327,1732560,293,495,8789237,977,8789237
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,956,1052,3663654,1851,3663654,1080,1178,3975163,2145,3975163,213,253,3174969,420,3174969,231,262,2771522,490,2771522,26,30,224177,42,224177
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,2197,2343,8469982,4358,8469982,2143,2487,6764652,4630,6764652,365,392,6306362,732,6306362,496,588,5625213,1140,5625213,209,294,2664860,556,2664860
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,246,262,748159,447,748159,103,129,310435,230,310435,-,-, -,-, -,4,4,27549,7,27549,-,-, -,-, -
00100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,1059,1151,4029406,1805,4029406,989,1055,5359440,1674,5359440,182,218,2316475,335,2316475,15,15,87990,21,87990,4,4,27605,6,27605
00100900,AUBURN UNIVERSITY,AL,368495113,Public,5302,5636,21866339,10038,21866339,6414,6614,23636550,12027,23636550,1938,2242,46398401,4008,46398401,1685,1973,46418607,3410,46418607,541,707,11662858,1113,11662858
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,329,340,1354687,649,1354687,424,462,1683913,887,1683913,-,-, -,-, -,134,155,2333177,260,2333177,-,-, -,-, -
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,1247,1260,3610073,2038,3610073,1298,1316,4780638,2164,4780638,-,-, -,-, -,10,10,59387,19,59387,-,-, -,-, -
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,337,356,1015200,613,1015200,309,335,1078732,572,1078732,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,1864,1988,7072011,3564,7072011,1890,1998,7369508,3628,7369508,1106,1298,14130517,2294,14130517,297,316,3419483,591,3419483,54,62,454118,109,454118
00101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,483,483,1960435,902,1960435,601,643,2080474,1197,2080474,5,5,85500,13,85500,200,200,2830646,384,2830646,3,3,37667,9,37667
00102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,3386,3608,12776564,6121,12776564,3364,3643,12394767,6317,12394767,885,1133,12231493,1634,12231493,633,693,6019910,1173,6019910,22,24,179974,26,179974
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,1786,1836,5104561,2962,5104561,538,626,1463187,1087,1463187,-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,1668,1856,5951576,2970,5951576,1527,1663,6107080,2715,6107080,2976,3271,38888232,6199,38888232,189,226,2627352,352,2627352,217,230,3692454,441,3692454
00102600,MARION MILITARY INSTITUTE,AL,367563214,Public,87,90,252743,159,252743,114,129,368717,236,368717,-,-, -,-, -,19,27,145464,50,145464,-,-, -,-, -
