ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,2795,3062,10726602,5595,10726602,2716,3109,8962403,5696,8962403,577,700,8365715,1261,8365715,999,1136,13726034,2165,13726034,131,154,1140480,286,1140480
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,1049,1537,4135462,2993,4135462,1149,1777,4919520,3471,4919520,860,1324,14175694,2666,14175694,146,171,1593462,309,1593462,367,614,11309999,1217,11309999
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,894,951,3329626,1709,3329626,1054,1152,3861143,2104,3861143,214,258,3225363,435,3225363,245,290,3027493,536,3027493,32,35,271193,54,271193
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,2096,2185,7866424,4043,7866424,2029,2352,6980863,4374,6980863,397,425,6782435,802,6782435,647,731,8075460,1406,8075460,194,274,2479749,534,2479749
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,300,317,935139,544,935139,94,124,288197,227,288197,,,,,,7,7,63680,13,63680,,,,,
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,1041,1135,4097445,1769,4097445,935,1006,5000979,1574,5000979,270,298,3862372,466,3862372,4,4,30309,7,30309,16,18,150159,27,150159
100900,AUBURN UNIVERSITY,AL,368495113,Public,4950,5249,20326567,9453,20326567,6349,6507,24176939,11956,24176939,1859,2154,45059760,3852,45059760,1731,2068,47900710,3566,47900710,547,729,12184545,1161,12184545
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,303,312,1222782,586,1222782,373,400,1385566,756,1385566,,,,,,125,148,2261424,233,2261424,,,,,
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,1447,1467,4340453,2413,4340453,1390,1407,5390216,2331,5390216,,,,,,19,20,93320,29,93320,,,,,
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,462,487,1444527,842,1444527,416,427,1647410,733,1647410,,,,,,,,,,,,,,,
101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,1798,1907,6899670,3500,6899670,1875,2026,7608850,3762,7608850,1212,1433,16024516,2635,16024516,270,282,3053328,525,3053328,66,76,580604,139,580604
101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,433,433,1750189,796,1750189,569,615,2015108,1123,2015108,8,8,125750,13,125750,186,186,2639603,363,2639603,2,2,25227,5,25227
102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,3363,3564,12828211,6062,12828211,3449,3772,13028558,6555,13028558,810,962,11401960,1408,11401960,765,931,7544575,1519,7544575,42,46,314720,54,314720
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,1746,1788,5065718,2903,5065718,533,622,1553483,1093,1553483,,,,,,,,,,,,,,,
102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,1788,1981,6352540,3158,6352540,1688,1870,7337962,3010,7337962,3025,3269,39824917,6416,39824917,134,163,1582319,244,1582319,250,303,4138320,577,4138320
102600,MARION MILITARY INSTITUTE,AL,367563214,Public,95,98,242765,171,242765,119,134,388411,239,388411,,,,,,12,16,70858,30,70858,,,,,
102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,979,1093,3602560,2003,3602560,980,1267,3426574,2299,3426574,,,,,,289,317,2556854,598,2556854,,,,,
