ope_id,school,state,zip_code,school_type,dl_subsidized_recipients,dl_subsidized_number_of_loans_originated,dl_subsidized_dollar_amount_of_loans_originated,dl_subsidized_number_of_disbursements,dl_subsidized_dollar_amount_of_disbursements,dl_unsubsidized_undergraduate_recipients,dl_unsubsidized_undergraduate_number_of_loans_originated,dl_unsubsidized_undergraduate_dollar_amount_of_loans_originated,dl_unsubsidized_undergraduate_number_of_disbursements,dl_unsubsidized_undergraduate_dollar_amount_of_disbursements,dl_unsubsidized_graduate_recipients,dl_unsubsidized_graduate_number_of_loans_originated,dl_unsubsidized_graduate_dollar_amount_of_loans_originated,dl_unsubsidized_graduate_number_of_disbursements,dl_unsubsidized_graduate_dollar_amount_of_disbursements,dl_parent_plus_recipients,dl_parent_plus_number_of_loans_originated,dl_parent_plus_dollar_amount_of_loans_originated,dl_parent_plus_number_of_disbursements,dl_parent_plus_dollar_amount_of_disbursements,dl_grad_plus_recipients,dl_grad_plus_number_of_loans_originated,dl_grad_plus_dollar_amount_of_loans_originated,dl_grad_plus_number_of_disbursements,dl_grad_plus_dollar_amount_of_disbursements
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,300,307,779357,638,855880,268,285,813034,602,904339,115,122,791214,250,830854,174,180,1526771,364,1585687,55,57,366625,117,374151
100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,330,344,839342,703,879154,376,395,1185669,805,1224395,308,318,2565052,667,2667440,5,6,20508,9,20508,209,220,3669094,445,3675594
100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,51,53,85141,58,85141,41,42,78882,45,78882,45,46,271754,46,271754,20,22,86648,22,86648,15,15,120945,15,120945
100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,248,253,647135,509,661946,217,224,572022,452,587772,64,64,396158,129,406408,121,123,700178,249,721031,132,132,899147,264,899147
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,47,49,119196,123,167350,34,35,75471,73,82165,,,,,,2,2,9016,4,9016,,,,,
100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,108,109,273440,205,466980,120,120,381761,213,650056,49,50,374316,93,703464,0,0,0,1,3849,7,8,56817,10,63937
100900,AUBURN UNIVERSITY,AL,368495113,Public,445,448,975393,491,993135,317,318,888052,366,911119,354,356,2528946,388,2574244,221,234,2964783,251,3009607,206,219,2835406,240,2858292
101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,6,6,27134,14,27134,5,5,24500,12,24500,,,,,,3,3,90997,8,90997,,,,,
101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,109,112,321106,320,519429,98,99,215089,293,488180,,,,,,0,0,0,2,6760,,,,,
101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,Public,48,50,143303,142,213136,41,42,158892,121,257766,,,,,,,,,,,,,,,
101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,Public,171,171,348869,333,348869,139,142,381769,277,381769,286,286,1371887,564,1371887,15,15,62375,30,62375,35,35,213211,69,213211
101900,HUNTINGDON COLLEGE,AL,361062148,Private-Nonprofit,1,1,3500,1,3500,1,1,2000,1,2000,3,3,23250,3,23250,1,1,12000,6,26223,0,0,0,1,7000
102000,JACKSONVILLE STATE UNIVERSITY,AL,362651602,Public,304,305,575704,312,575704,212,214,489562,216,489562,236,237,1293180,239,1298520,107,110,412118,110,412118,33,33,227643,33,227643
102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,Public,219,220,641318,534,846693,193,201,401679,416,456579,,,,,,,,,,,,,,,
102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,Public,330,334,605868,467,834974,259,266,652341,388,965249,485,502,3011946,2027,12851094,18,22,92662,24,102312,49,55,358374,200,1354529
102600,MARION MILITARY INSTITUTE,AL,367563214,Public,1,1,1750,2,1750,,,,,,,,,,,1,1,5600,2,5600,,,,,
102800,MILES COLLEGE,AL,350642697,Private-Nonprofit,128,128,156048,254,156048,71,71,115457,140,115457,,,,,,24,24,85356,48,85356,,,,,
102900,UNIVERSITY OF MOBILE,AL,366630220,Private-Nonprofit,11,11,28992,22,36591,19,19,74625,31,87975,9,9,70861,43,279892,4,4,13178,7,34858,6,6,45034,21,139508
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,Public,69,69,183580,160,226834,33,36,70006,73,75756,,,,,,,,,,,,,,,
103300,OAKWOOD UNIVERSITY,AL,358960001,Private-Nonprofit,57,57,223011,120,284606,74,77,318242,168,394575,2,2,23031,5,53781,29,30,301741,65,325308,,,,,
103600,SAMFORD UNIVERSITY,AL,352297000,Private-Nonprofit,10,10,26875,13,26875,7,7,31500,9,31500,298,298,2081619,300,2090119,12,12,101345,13,101345,478,490,6974361,503,6974361
103800,SNEAD STATE COMMUNITY COLLEGE,AL,359570734,Public,22,22,61291,59,87293,22,25,43379,58,62054,,,,,,0,0,0,1,4659,,,,,
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,Public,59,60,133440,140,181489,51,52,128505,124,191228,,,,,,1,1,3500,2,3500,,,,,
104100,SPRING HILL COLLEGE,AL,366081791,Private-Nonprofit,29,29,47829,29,47829,24,26,50262,27,50262,30,32,231848,32,231848,4,4,36060,4,36060,,,,,
104400,STILLMAN COLLEGE,AL,354011430,Private-Nonprofit,23,23,40106,47,42856,14,14,32313,29,35346,,,,,,2,2,5300,4,5300,,,,,
104600,TALLADEGA COLLEGE,AL,351602354,Private-Nonprofit,16,16,54224,35,57974,14,14,62167,35,73667,0,0,0,7,47706,2,2,17648,4,17648,2,2,13000,6,29000
104700,TROY UNIVERSITY,AL,360820001,Public,512,521,1089320,774,1428702,417,426,895005,673,1348544,243,254,1339418,493,2541271,82,87,499513,95,538096,135,144,808184,166,890083
