address,subnet_id,order
10.61.127.33/8,95c091f0-34e6-42a0-8c45-936cccba55c7,0
10.107.23.242/8,2f08159a-e945-4ba2-a583-431d1f8078d9,2
10.107.23.242/8,36ad083d-c3cc-443f-8821-c85601c10084,0
10.107.23.242/8,4ab2d89a-536b-4ec7-a8a2-df853a5b65e3,0
10.107.23.242/8,862e31fa-ce44-4f58-95b7-9bf1193cb5c9,3
10.107.23.242/8,9ce2600b-6566-4c81-9370-9b758d5f7ccc,2
10.107.23.242/8,9d67653d-0e90-4f72-a9ab-162930b79267,3
10.67.40.40/8,0807c5b3-aa6c-4108-8884-7b4948a19178,0
10.67.40.40/8,16eaae8c-1920-4b8b-8765-f149dde8a1a6,0
10.67.40.40/8,1e360a1e-339a-4dc7-a250-28c31fcd905a,0
10.67.40.40/8,2019039a-089f-408c-b080-201a0c5cbe6f,0
10.67.40.40/8,25a309b3-7334-44b7-99b5-85a874d28475,0
10.67.40.40/8,36ad083d-c3cc-443f-8821-c85601c10084,0
10.67.40.40/8,37f62d26-a556-4177-8d7b-fe5f016a37a3,0
10.67.40.40/8,388ee748-7b3d-4049-99b4-7e582937bbd4,0
10.67.40.40/8,4ab2d89a-536b-4ec7-a8a2-df853a5b65e3,0
10.67.40.40/8,5a4a17a5-301a-4a2b-ac62-15cda54d4dad,0
10.67.40.40/8,5e142952-a7f2-40e9-a941-0df00182e08c,0
10.67.40.40/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0
10.67.40.40/8,862e31fa-ce44-4f58-95b7-9bf1193cb5c9,0
10.67.40.40/8,9ce2600b-6566-4c81-9370-9b758d5f7ccc,0
10.67.40.40/8,9d67653d-0e90-4f72-a9ab-162930b79267,0
10.67.40.40/8,bfa4c406-630d-4b28-955f-d46ada5d4c07,0
10.67.40.40/8,d607b3ee-92c6-4c55-933b-ac08aa0aa08f,0
10.67.40.40/8,e8da8ec5-364b-4a31-afaf-f68a206b7846,0
10.67.40.40/8,faee7948-a17f-4e58-a557-7ea1219c3b5f,0
10.229.203.154/8,0807c5b3-aa6c-4108-8884-7b4948a19178,2
10.229.203.154/8,16eaae8c-1920-4b8b-8765-f149dde8a1a6,1
10.229.203.154/8,1e360a1e-339a-4dc7-a250-28c31fcd905a,0
10.229.203.154/8,2019039a-089f-408c-b080-201a0c5cbe6f,2
10.229.203.154/8,25a309b3-7334-44b7-99b5-85a874d28475,1
10.229.203.154/8,2f08159a-e945-4ba2-a583-431d1f8078d9,0
10.229.203.154/8,36ad083d-c3cc-443f-8821-c85601c10084,0
10.229.203.154/8,37f62d26-a556-4177-8d7b-fe5f016a37a3,1
10.229.203.154/8,388ee748-7b3d-4049-99b4-7e582937bbd4,1
10.229.203.154/8,4ab2d89a-536b-4ec7-a8a2-df853a5b65e3,0
10.229.203.154/8,5a4a17a5-301a-4a2b-ac62-15cda54d4dad,2
10.229.203.154/8,5e142952-a7f2-40e9-a941-0df00182e08c,1
10.229.203.154/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0
10.229.203.154/8,862e31fa-ce44-4f58-95b7-9bf1193cb5c9,1
10.229.203.154/8,9ce2600b-6566-4c81-9370-9b758d5f7ccc,1
10.229.203.154/8,9d67653d-0e90-4f72-a9ab-162930b79267,1
10.229.203.154/8,bfa4c406-630d-4b28-955f-d46ada5d4c07,0
10.229.203.154/8,d607b3ee-92c6-4c55-933b-ac08aa0aa08f,2
10.229.203.154/8,e8da8ec5-364b-4a31-afaf-f68a206b7846,0
10.229.203.154/8,faee7948-a17f-4e58-a557-7ea1219c3b5f,1
10.49.228.132/8,0807c5b3-aa6c-4108-8884-7b4948a19178,1
10.49.228.132/8,16eaae8c-1920-4b8b-8765-f149dde8a1a6,2
10.49.228.132/8,2019039a-089f-408c-b080-201a0c5cbe6f,1
10.49.228.132/8,25a309b3-7334-44b7-99b5-85a874d28475,2
10.49.228.132/8,2f08159a-e945-4ba2-a583-431d1f8078d9,1
10.49.228.132/8,36ad083d-c3cc-443f-8821-c85601c10084,0
10.49.228.132/8,37f62d26-a556-4177-8d7b-fe5f016a37a3,2
10.49.228.132/8,388ee748-7b3d-4049-99b4-7e582937bbd4,2
10.49.228.132/8,4ab2d89a-536b-4ec7-a8a2-df853a5b65e3,0
10.49.228.132/8,5a4a17a5-301a-4a2b-ac62-15cda54d4dad,1
10.49.228.132/8,5e142952-a7f2-40e9-a941-0df00182e08c,2
10.49.228.132/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0
10.49.228.132/8,862e31fa-ce44-4f58-95b7-9bf1193cb5c9,2
10.49.228.132/8,9d67653d-0e90-4f72-a9ab-162930b79267,2
10.49.228.132/8,d607b3ee-92c6-4c55-933b-ac08aa0aa08f,1
10.49.228.132/8,e8da8ec5-364b-4a31-afaf-f68a206b7846,0
10.49.228.132/8,faee7948-a17f-4e58-a557-7ea1219c3b5f,2
10.159.230.188/8,1e360a1e-339a-4dc7-a250-28c31fcd905a,0
10.159.230.188/8,bef6a0f5-1da7-4499-b9fc-8456b4a593bc,0
