id,object_id,tenant_id,target_tenant,action
0cd46c97-b166-4f00-a793-534af0e7fe76,4207d69c-903d-48d3-be48-debcb46b3241,6f9adccbd03e4d2186756896957a14bf,2160dff3f28c4a368d52fd373abdba78,access_as_shared
263594e2-ff49-4f74-93bc-c71f73b48152,4207d69c-903d-48d3-be48-debcb46b3241,6f9adccbd03e4d2186756896957a14bf,df4ca50218b54171a83464a67dd8ec78,access_as_shared
50f95f5c-367f-42d3-875e-5df2162b9de0,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,6f9adccbd03e4d2186756896957a14bf,e3fb2659584e436a832461dac02835f0,access_as_shared
53ad9e60-9d81-4bc2-98f0-f35498ea20f0,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,6f9adccbd03e4d2186756896957a14bf,*,access_as_shared
54c65f4d-ac16-43aa-8091-596a8cf5a4ab,4207d69c-903d-48d3-be48-debcb46b3241,7691c9955ce1444ab366d041f5bdf33c,1ee6b5b4fe8c45cfa16c3ecdbb8ee02b,access_as_shared
57051f7f-91ae-4d62-b98e-08041ae25928,4207d69c-903d-48d3-be48-debcb46b3241,6f9adccbd03e4d2186756896957a14bf,41875d895b664602869cdab371081dc3,access_as_shared
5d34c08f-0603-4478-a743-6dfb34a38547,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,09ad05432f914e26bc417bf58f1cb4d2,*,access_as_external
677453ba-0623-44cb-8c16-83ae4687eace,4207d69c-903d-48d3-be48-debcb46b3241,6f9adccbd03e4d2186756896957a14bf,7f90e41e2e7a4f5f805e5c81f3994f6d,access_as_shared
74e25d6f-5c98-48ab-8ce9-c591d04a5b1a,b0c35168-dd4a-43db-9eaf-40f72529d8c8,7691c9955ce1444ab366d041f5bdf33c,98333a1a28e746fa8c629c83a818ad57,access_as_shared
8558e61c-4a71-4ae9-87b4-087ca67a4902,4207d69c-903d-48d3-be48-debcb46b3241,6f9adccbd03e4d2186756896957a14bf,a3ccd76b29264bbe94415833015c9379,access_as_shared
8d848179-cea2-4b3a-9790-78e23b276a4c,4207d69c-903d-48d3-be48-debcb46b3241,6f9adccbd03e4d2186756896957a14bf,bfd50153a2e9476f93e33e30e922cd06,access_as_shared
c1f89e26-9c60-4462-8f98-d7ee7d0aaf14,b3d6c27a-a9bb-4521-b5de-4d65eb7490dc,98333a1a28e746fa8c629c83a818ad57,47c0857cf5b5452a86f640fd44be1d40,access_as_shared
e26fde14-47d6-4011-8fe5-792387787933,c9e8f307-e1d5-4c06-b464-ef5370ca1d6d,7691c9955ce1444ab366d041f5bdf33c,08a5710919764215ad1b2c98dc7a8112,access_as_shared
f2980872-481b-497a-9281-784178e4e555,c9e8f307-e1d5-4c06-b464-ef5370ca1d6d,7691c9955ce1444ab366d041f5bdf33c,c1cb7bcbcb6040c9837c35ff8501b13a,access_as_shared
