router_id,port_id,port_type
0d643319-9537-413e-ac52-3fca261c0a47,7faafd36-c329-4c4c-8b2c-bc3f63cf3863,network:router_interface
0d643319-9537-413e-ac52-3fca261c0a47,a5007dd1-9c54-46db-9a7c-a94449afed73,network:router_gateway
2a0da151-bbe4-433d-bac8-ba79d5139b73,7e3b0600-087c-4f9d-8579-c6f2e523d855,network:router_interface
40d3572b-5886-4c25-a737-feaf69fecad0,5f7528dd-9436-4741-879a-5eb8ddf11a1e,network:router_gateway
40d3572b-5886-4c25-a737-feaf69fecad0,e2969923-8ffb-44b3-be6a-b55678d9055e,network:router_interface
611b1438-7ede-437c-864d-e25bd30c03d4,49acce02-7758-4227-add2-6245101d65f0,network:router_gateway
611b1438-7ede-437c-864d-e25bd30c03d4,b663ff1e-13a2-47bd-815b-77579c6cb442,network:router_interface
71e9342c-dd51-4f9d-843d-892285bff645,a5c5b832-e240-4a8c-9626-39ff38106018,network:router_gateway
71e9342c-dd51-4f9d-843d-892285bff645,e3b4e515-bcad-4557-9eb3-ac33dd180b2f,network:router_interface
749033ea-144e-41c9-8fdf-ffa4da3519a4,59f08aea-2668-4294-b5b5-b032b220d003,network:router_gateway
76f35845-0279-4b3f-93a7-f9ef40922a1a,45ef9b25-dd08-47b3-a8ef-dd895e7527d4,network:router_gateway
8a4ce760-ab55-4f2f-8ec5-a2e858ce0d39,59a40b61-51ae-44bb-a1f8-ae05f2c216ff,network:router_interface
8a4ce760-ab55-4f2f-8ec5-a2e858ce0d39,d38cbda0-0ce1-4acf-9c10-776131065a18,network:router_interface
8f10910e-4827-4528-9d63-501ef1e25ffa,2d54aa04-9d8d-4d3f-b3b4-4906aff79e96,network:router_gateway
8f10910e-4827-4528-9d63-501ef1e25ffa,fcc9e906-ccd2-40da-829a-22c33e64a8f8,network:router_interface
93d59217-82e9-4e14-a893-8da557a2efcc,58432caa-fadd-4a5c-b340-e6a96b0038d6,network:router_gateway
93d59217-82e9-4e14-a893-8da557a2efcc,dcc07e3c-c36f-4240-8971-e5eb23f205ee,network:router_interface
9f198365-29e5-46f3-909a-b6ac330c8ac9,5782bc41-a46e-4b17-a98f-a41d54935c6a,network:router_gateway
9ff894ce-d884-46fd-9c47-c5fb7d6fb933,6126d500-c352-4e96-9a11-6078b1504b38,network:router_interface
9ff894ce-d884-46fd-9c47-c5fb7d6fb933,7d292552-5b81-4545-99c9-650dcd4c0185,network:router_gateway
a154bb98-4a0d-4a6c-bcfa-e1afb65ce71e,16c68923-8a8d-483e-96d0-dd441cab2747,network:router_gateway
a154bb98-4a0d-4a6c-bcfa-e1afb65ce71e,498e37a6-45e4-4185-a842-93e55cd1ac6f,network:router_interface
ae3e52b8-565b-498b-a202-094add19c61c,6dd94ee2-268b-4bc3-a8a1-eeca04ebb8ad,network:router_interface
ae4709ed-52bb-4b9e-adb2-3f750b45171c,08f5e69c-6ade-43db-b2a0-060ba0595d51,network:router_interface
ae4709ed-52bb-4b9e-adb2-3f750b45171c,5783fd6e-9b8d-4187-b5d8-264f0e7ed68f,network:router_interface
bf2b95af-46a1-4f36-8ad2-06f0b2c94a82,7830c03b-3b66-4271-9f7f-dffd79da62ee,network:router_interface
c0cb59de-2827-41b8-b9ec-23cf0fb9fda3,fdc2756f-8129-457c-869a-1c64f0dc4360,network:router_interface
e0082509-7e89-4959-bf0c-b8c8b2acf639,92dcf251-a673-422d-a30c-94bbbf833fd9,network:router_gateway
e10a8573-7b74-4a21-b9ce-eaf66bf58279,37668015-d65b-45f3-be56-4581d37c9a3a,network:router_interface
e10a8573-7b74-4a21-b9ce-eaf66bf58279,65daa76d-d899-4518-8ed0-7d1bcd4c243c,network:router_gateway
e35f6c43-bbe9-496b-ad28-3a04e849c81a,4b3480b6-4507-461f-b3b6-318e4b59b231,network:router_interface
e5c87824-30c4-4806-9cea-7a79605f0408,655c8960-e7f7-4bf4-ba23-2cd7ae223b9f,network:router_interface
e5c87824-30c4-4806-9cea-7a79605f0408,d48341b3-5463-47fe-8145-18077a99c106,network:router_gateway
fa95b6df-6eef-49a9-a7df-753eeb99c527,4872b855-26cd-4083-aa98-9b339b664970,network:router_gateway
fa95b6df-6eef-49a9-a7df-753eeb99c527,4eba9d6b-dea1-45ac-83b4-4857ff3dabf0,network:router_interface
