port_id,security_group_id
3d0d3872-f929-46ba-8adc-4fb128b557c6,0008e629-5619-41e0-b86c-4eecfeaacb6c
d1c34ee8-d108-4e9e-940b-9d6530c9fec9,0008e629-5619-41e0-b86c-4eecfeaacb6c
73f69596-247f-443b-b8b7-5b44b138c112,0028f2b0-b1a0-4932-a6c5-93ec69119656
0becbc1b-b20a-48d8-b171-fcca668b1df6,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
14fc47f0-810b-4301-8773-c6c8ad088557,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
28e00fb1-159c-44bd-b5f6-dba0592efdca,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
559ab068-187f-4abf-944d-17716699a9d9,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
65a947ca-f506-4321-a88b-e3b6ff710163,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
830bfaf7-d883-4ba6-96d2-0d4891fb6062,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
8d931c7e-f38e-472e-adb2-730de63c3001,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
b551bcfa-8bd1-4a8b-97a4-04299c1336eb,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
b69caa0c-df31-400b-b372-42ec8a74559b,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
f313aaa4-e10e-4635-9a66-4dc08cde0042,0072ec7e-ecb2-4896-b304-846ffe9f0ab3
1ed1e743-730f-4da3-aa75-f6a79265253f,009ac421-fb41-4084-947c-b7ac1531c4dc
2a76a860-af8e-4544-ab3e-895cff09481d,009ac421-fb41-4084-947c-b7ac1531c4dc
63e3e985-0f94-46f6-8056-90710391a764,009ac421-fb41-4084-947c-b7ac1531c4dc
0611ee4e-cf36-4982-81bb-d86f83301d54,00a39999-7ae3-459a-854c-a3275bda5b0c
1824c128-2c00-40a6-906e-a64ea78dbfc7,00a39999-7ae3-459a-854c-a3275bda5b0c
1d408c3d-6086-4ca1-9360-ee55e0f9758a,00a39999-7ae3-459a-854c-a3275bda5b0c
35536a84-335a-47c7-9b04-b62176dc60d5,00a39999-7ae3-459a-854c-a3275bda5b0c
3de077c5-b9db-4600-b44d-502a62727495,00a39999-7ae3-459a-854c-a3275bda5b0c
4798eb0d-1ca7-4e04-88d9-0e3773aad033,00a39999-7ae3-459a-854c-a3275bda5b0c
551b342c-e05d-463a-98b5-fd139bc76cba,00a39999-7ae3-459a-854c-a3275bda5b0c
55389f03-3327-4264-bb57-b7402cb6a7d4,00a39999-7ae3-459a-854c-a3275bda5b0c
58e90c24-e405-450a-a136-496cb27c4011,00a39999-7ae3-459a-854c-a3275bda5b0c
5b33f577-4a84-400e-951c-d4dd3a278b52,00a39999-7ae3-459a-854c-a3275bda5b0c
810823c1-9297-4d42-a0ec-6be33270060e,00a39999-7ae3-459a-854c-a3275bda5b0c
908e0266-0c63-45ab-9b32-cb466d4448cc,00a39999-7ae3-459a-854c-a3275bda5b0c
9b5418d5-16fd-489e-bbb7-149e3fe9132a,00a39999-7ae3-459a-854c-a3275bda5b0c
a5f0d9e6-06ad-4e98-bb8b-af557aa8f15b,00a39999-7ae3-459a-854c-a3275bda5b0c
beca11b5-c1cd-474c-90bd-92be6017d84d,00a39999-7ae3-459a-854c-a3275bda5b0c
c5d74665-96f8-4c91-bca0-889b0ea68273,00a39999-7ae3-459a-854c-a3275bda5b0c
c9246f6c-3d5f-4498-9806-b67f1c6deac0,00a39999-7ae3-459a-854c-a3275bda5b0c
d371a7bd-3dec-4f77-be99-ff3b99ab9deb,00a39999-7ae3-459a-854c-a3275bda5b0c
e579759a-2afa-43d5-a514-1c6d61b905b0,00a39999-7ae3-459a-854c-a3275bda5b0c
eacdef75-c114-429f-9558-3a7f3e3bdcec,00a39999-7ae3-459a-854c-a3275bda5b0c
f5c1f0bf-660e-4b52-b9a9-833bd0a8d943,00a39999-7ae3-459a-854c-a3275bda5b0c
fc5fd830-0903-4d84-8c44-03d9d2c9143f,00a39999-7ae3-459a-854c-a3275bda5b0c
8fea56b9-fcf4-43c8-88be-42255a44b3cd,01253706-20b0-4b19-9f75-9b950a248bc0
0342644d-4cef-4f69-b1af-37bc98352211,01643bbe-e6ce-4619-a11f-a46bdb4e575f
0611ee4e-cf36-4982-81bb-d86f83301d54,01643bbe-e6ce-4619-a11f-a46bdb4e575f
140adbbe-11f6-4319-b57b-622b63ff70ab,01643bbe-e6ce-4619-a11f-a46bdb4e575f
1824c128-2c00-40a6-906e-a64ea78dbfc7,01643bbe-e6ce-4619-a11f-a46bdb4e575f
1d408c3d-6086-4ca1-9360-ee55e0f9758a,01643bbe-e6ce-4619-a11f-a46bdb4e575f
25fc8874-51a8-4bed-a065-752c4b5186e8,01643bbe-e6ce-4619-a11f-a46bdb4e575f
35536a84-335a-47c7-9b04-b62176dc60d5,01643bbe-e6ce-4619-a11f-a46bdb4e575f
