network_id,port_security_enabled
037e1428-06c8-44b3-bd51-6a320330d08c,1
04dc6fb8-2d9e-4739-9c71-1e3dc9ab6390,1
05e04d8f-42ab-4610-845a-e50c515bf89a,1
0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,1
18b03960-577f-49a4-be38-aafb4e05f3f3,1
1e070f88-14f2-40ba-a79d-5a4eb023d88b,1
259e350d-9ea5-4dc5-8a1c-4ab7deef9eec,1
28bdd9ff-3e79-45ac-9831-f61a8ac71ab7,1
2eb56e3e-f49c-49a2-8b82-d10187ed05cd,1
2fd4865f-ed87-4b56-a1a3-8a20f3275c0d,0
354ce497-50a3-42cc-9cd7-e6fe499f7211,1
4207d69c-903d-48d3-be48-debcb46b3241,1
5ec0b65f-6115-4525-8093-a8ce01707624,1
63dc291f-cabd-4689-9ec8-c0d935c6399e,1
6814a543-6ad2-4426-83bc-dd0740dc068a,1
6ef825a6-115f-4270-86ca-e3a818b13c14,1
84ba89ec-68fd-4257-80eb-a1c3a65ee594,1
85d1052c-e23d-4ecb-bdba-16ebb8265237,1
92d37d16-07e5-4387-8ab0-ce4a90a998ea,1
99d2d7a0-3a92-4f0d-8e2f-917201477f8b,1
9a8f3905-08e1-47df-a376-12d3093c04bc,1
9eb1cb96-7b96-4734-b99f-e2320fc4e475,1
a4d00c60-f005-400e-a24c-1bf8b8308f98,1
adaf4d7d-da5b-4a9f-b2b7-45074035f7f9,1
b0c35168-dd4a-43db-9eaf-40f72529d8c8,0
b3d6c27a-a9bb-4521-b5de-4d65eb7490dc,1
b4f80478-cac6-49b2-9485-8d011dc9cb53,1
c9e8f307-e1d5-4c06-b464-ef5370ca1d6d,0
cc0bf539-feba-46fe-a2e3-f04bfe1eef35,1
d4d68601-45d2-4ed9-9a22-f62b8645223d,1
d8d71cfe-9924-4521-9c23-e0eb4ec92747,1
e521f9d0-a1bd-4ff4-bc81-78a60dd88fe5,1
ee45c397-e436-4b5e-b9ee-113bfbf4ffd0,1
f18bc442-8970-40dd-ad8e-a69f1733cc98,1
f29a09a3-0e98-498f-8493-ac69378220a0,1
fe178706-9942-4600-9224-b2ae7c61db71,1
