tenant_id,id,name,status,admin_state_up,gw_port_id,enable_snat,standard_attr_id
70b2507b8cc44fcb917ddfb85f5079d9,0d643319-9537-413e-ac52-3fca261c0a47,blitz_spire,ACTIVE,1,a5007dd1-9c54-46db-9a7c-a94449afed73,1,44769
d5a33464413740e19dbe588144de18d0,2a0da151-bbe4-433d-bac8-ba79d5139b73,helix_layer,ACTIVE,1,,1,2039
ce5756b3b57d4d5a82508ae5e27ecfb8,30029469-c5b0-49f3-9f7e-a74a592b7d82,shine_spark,ACTIVE,1,,1,24307
7691c9955ce1444ab366d041f5bdf33c,40d3572b-5886-4c25-a737-feaf69fecad0,flux,ACTIVE,1,5f7528dd-9436-4741-879a-5eb8ddf11a1e,1,5832
daa18fdafdf04b5eac18e04aa19ee214,4559012e-99c1-4d89-9084-30387fc41a5c,warp-warp,ACTIVE,1,,1,2040
09ad05432f914e26bc417bf58f1cb4d2,611b1438-7ede-437c-864d-e25bd30c03d4,shine_flare,ACTIVE,1,49acce02-7758-4227-add2-6245101d65f0,1,2041
cf3a87ea84514fcc883b80ba07b3b2b7,713a3804-4653-4088-9f39-4ca00c7f27de,orbit,ACTIVE,1,,1,2042
98333a1a28e746fa8c629c83a818ad57,71e9342c-dd51-4f9d-843d-892285bff645,omega_delta,ACTIVE,1,a5c5b832-e240-4a8c-9626-39ff38106018,1,20395
fab98a79c65a47a99d23492c39315927,749033ea-144e-41c9-8fdf-ffa4da3519a4,novae,ACTIVE,1,59f08aea-2668-4294-b5b5-b032b220d003,1,6066
3a3dd8971d2e4f6abf826e5dd0362895,76f35845-0279-4b3f-93a7-f9ef40922a1a,terra_theta_axiom,ACTIVE,1,45ef9b25-dd08-47b3-a8ef-dd895e7527d4,1,25014
17ea94ad74b64b9d92f4888336a598c7,8a4ce760-ab55-4f2f-8ec5-a2e858ce0d39,proto,ACTIVE,1,,1,2043
bfd50153a2e9476f93e33e30e922cd06,8f10910e-4827-4528-9d63-501ef1e25ffa,comet_delta,ACTIVE,1,2d54aa04-9d8d-4d3f-b3b4-4906aff79e96,1,24313
fab98a79c65a47a99d23492c39315927,93d59217-82e9-4e14-a893-8da557a2efcc,comet-star-gamma,ACTIVE,1,58432caa-fadd-4a5c-b340-e6a96b0038d6,1,6061
97107d3284a848a4a4ea0345bd05cbef,98b72d01-9b50-4662-9d36-9482b39843a0,radar_qubit,ACTIVE,1,,1,2044
5fea2ac1593844778bd57448717fe6fb,9f198365-29e5-46f3-909a-b6ac330c8ac9,gamut_space_spike,ACTIVE,1,5782bc41-a46e-4b17-a98f-a41d54935c6a,1,52605
98333a1a28e746fa8c629c83a818ad57,9ff894ce-d884-46fd-9c47-c5fb7d6fb933,blitz,ACTIVE,1,7d292552-5b81-4545-99c9-650dcd4c0185,1,21147
bfd50153a2e9476f93e33e30e922cd06,a154bb98-4a0d-4a6c-bcfa-e1afb65ce71e,scope_streak,ACTIVE,1,16c68923-8a8d-483e-96d0-dd441cab2747,1,6016
6707cc1c25b14cb6a625ea1d5c06946d,ae3e52b8-565b-498b-a202-094add19c61c,orbit,ACTIVE,1,,1,2045
939a950b58f140b695f0da6c200e805c,ae4709ed-52bb-4b9e-adb2-3f750b45171c,flick_xenon,ACTIVE,1,,1,2046
d60e461ee9034977b4717d79bba2f77e,bf2b95af-46a1-4f36-8ad2-06f0b2c94a82,flare_spire_zenit,ACTIVE,1,,1,2048
db95ae8358bd4566ba2e38702a128b6b,c0cb59de-2827-41b8-b9ec-23cf0fb9fda3,vortx,ACTIVE,1,,1,2049
b3c6072810a24f67a7ac48e49a960e51,ddc57ccc-6401-4e3d-ae23-34bfa8966335,point_pulse,ACTIVE,1,,1,48753
6790bdc54ef84195b4d1e7df6642d968,e0082509-7e89-4959-bf0c-b8c8b2acf639,plasm,ACTIVE,1,92dcf251-a673-422d-a30c-94bbbf833fd9,1,58641
09ad05432f914e26bc417bf58f1cb4d2,e10a8573-7b74-4a21-b9ce-eaf66bf58279,zenta_star,ACTIVE,1,65daa76d-d899-4518-8ed0-7d1bcd4c243c,1,5897
db95ae8358bd4566ba2e38702a128b6b,e35f6c43-bbe9-496b-ad28-3a04e849c81a,spear,ACTIVE,1,,1,2050
d00c4471fe5945f69795d50f7f32981e,e5c87824-30c4-4806-9cea-7a79605f0408,orbit_strat_spire,ACTIVE,1,d48341b3-5463-47fe-8145-18077a99c106,1,50206
bfd50153a2e9476f93e33e30e922cd06,fa95b6df-6eef-49a9-a7df-753eeb99c527,blitz,ACTIVE,1,4872b855-26cd-4083-aa98-9b339b664970,1,20998
