tenant_id,id,name,status,admin_state_up,mtu,vlan_transparent,standard_attr_id,availability_zone_hints
db95ae8358bd4566ba2e38702a128b6b,037e1428-06c8-44b3-bd51-6a320330d08c,track7_align,ACTIVE,1,,,1280,
17ea94ad74b64b9d92f4888336a598c7,04dc6fb8-2d9e-4739-9c71-1e3dc9ab6390,meter2,ACTIVE,1,8958.0,,15363,[]
fab98a79c65a47a99d23492c39315927,05e04d8f-42ab-4610-845a-e50c515bf89a,scope,ACTIVE,1,8958.0,,59605,[]
6f9adccbd03e4d2186756896957a14bf,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,spind,ACTIVE,1,9000.0,,1281,
98333a1a28e746fa8c629c83a818ad57,18b03960-577f-49a4-be38-aafb4e05f3f3,quark_track,ACTIVE,1,8958.0,,21148,[]
939a950b58f140b695f0da6c200e805c,1e070f88-14f2-40ba-a79d-5a4eb023d88b,cubic,ACTIVE,1,,,1282,
bfd50153a2e9476f93e33e30e922cd06,259e350d-9ea5-4dc5-8a1c-4ab7deef9eec,quark_track,ACTIVE,1,8958.0,,20997,[]
3a3dd8971d2e4f6abf826e5dd0362895,28bdd9ff-3e79-45ac-9831-f61a8ac71ab7,grav-lyric,ACTIVE,1,8958.0,,25011,[]
699940955745414fa2217898df3875e5,2eb56e3e-f49c-49a2-8b82-d10187ed05cd,warp-warp,ACTIVE,1,,,1284,
98333a1a28e746fa8c629c83a818ad57,2fd4865f-ed87-4b56-a1a3-8a20f3275c0d,gamma3_helix,ACTIVE,1,8958.0,,54183,[]
fab98a79c65a47a99d23492c39315927,354ce497-50a3-42cc-9cd7-e6fe499f7211,light,ACTIVE,1,8958.0,,59601,[]
bfd50153a2e9476f93e33e30e922cd06,38bfcc47-5f4d-46c8-9596-fb3a69f64e1e,glyph,ACTIVE,1,1458.0,,6012,[]
6f9adccbd03e4d2186756896957a14bf,4207d69c-903d-48d3-be48-debcb46b3241,xenon9_shine,ACTIVE,1,1500.0,,20746,[]
5f321cb6f5454443876cfbe22aa1d6d8,5b5cae96-6f01-43b4-865a-369382c484f3,omni_cubic,ACTIVE,1,0.0,,1287,
98333a1a28e746fa8c629c83a818ad57,5ec0b65f-6115-4525-8093-a8ce01707624,pivot3-67,ACTIVE,1,,,1288,
84d075a4038642f3b592249e4a9cc41a,5f12d2ba-af34-45bf-8118-10fb41d6b5f7,ether-terra,ACTIVE,1,0.0,,1289,
809c6f32e1f84a5bbdaf905685a0b4f3,63dc291f-cabd-4689-9ec8-c0d935c6399e,xenon-4h-94,ACTIVE,1,8958.0,,14899,[]
