port_id,ip_address,subnet_id,network_id
,10.214.241.199/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
000a1fab-1d06-449d-a126-fd838e023596,10.122.48.57/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
0012b1a9-8387-4c17-8578-755f5984aec4,10.46.5.190/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
00167498-2a08-49f1-932e-6d329fb8d469,10.246.9.84/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
002abd1b-ea0c-4d24-8813-de12b56314c3,10.87.168.78/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
0036e9ca-2908-40a9-8c5b-49ae337fd939,10.27.28.254/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
003b4cf8-a0fe-4143-908c-9098683cd970,10.90.224.237/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
00445690-c2e8-4bdb-9409-1db6a7261ab5,10.196.89.55/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
005469f5-0561-4c8b-8c5a-15a0dcf0d2cb,10.235.31.244/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
006c2eae-19b1-4fa8-9ddf-6709af52fe4e,10.111.254.112/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
0083f258-2de3-44a0-9e57-97a391c09f4b,10.144.32.246/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
008bd627-7551-4e82-9813-511e48e23169,10.117.82.120/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
00a20edb-4dee-4a1a-839f-93b092072d67,10.99.96.65/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
00ab2588-cc33-4c47-85e6-cad79620b478,10.177.159.48/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
00bfc1ee-95a4-477f-8ade-c90b238dc37c,10.193.64.112/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
00dcd118-eaaa-4859-a1a4-62e45814a937,10.119.113.6/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
00fc3f72-5c2b-40cc-87e1-2b2c579c82c6,10.209.131.170/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
0107d9da-752e-4f0f-8a64-83d6922312f1,10.29.237.177/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
010bef2b-07d0-4b73-be42-903c3d1ab999,10.118.19.228/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
01191ef1-8cae-4e2e-851c-fb75e780e1b0,10.121.185.205/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
01207908-d7f4-46f4-977c-c7a75cb35d0a,10.152.78.211/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
0137fc22-db66-4c12-811c-9da6b309167c,10.39.151.187/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
01388aad-e590-4686-9f4a-bce0b168a15c,10.213.60.178/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
013f0e97-d949-4cc5-8a7d-bd861f67fa23,10.156.120.251/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
0142b0fe-0db1-484f-b9d3-b953822b933b,10.120.196.164/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
015b9b08-6e16-4398-95ce-c01f7a5bfcd5,10.122.44.17/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
018d73ae-87ad-403e-8040-4e2833889e4d,10.205.135.75/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
01932bfe-d1e6-4680-b180-0066f299afd7,10.211.113.39/8,76123b94-2ae9-40c4-a4c6-03ee98d081d9,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d
