tenant_id,id,floating_ip_address,floating_network_id,floating_port_id,fixed_port_id,fixed_ip_address,router_id,last_known_router_id,status,standard_attr_id
e3fb2659584e436a832461dac02835f0,081b036e-328b-4d53-aa48-b9d7a5c36ff9,10.78.250.6/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,b8d7a58a-5bd7-4336-9423-10f547c16299,,,,,DOWN,49560
e3fb2659584e436a832461dac02835f0,18801cc2-fb09-48fd-b6b5-2fd659fc0214,10.133.112.19/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,3b34fa75-3156-4652-be85-1e53574c0b52,,,,,DOWN,49566
bfd50153a2e9476f93e33e30e922cd06,22d0ad96-c988-4652-9d0b-3ce69a6e8cce,10.69.196.180/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,d008956b-2988-4ef4-80d4-9b4570e79bb0,,,,,DOWN,20991
98333a1a28e746fa8c629c83a818ad57,2a2c71e4-3a37-4f78-825a-20ccc46a2d5c,10.147.160.164/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,1ace83f1-ad5c-4e77-a5f3-1dbc629c0d02,30473f2c-8bc6-4f7d-9e56-ce98c3c3b18c,10.20.127.222/8,9ff894ce-d884-46fd-9c47-c5fb7d6fb933,,ACTIVE,21294
bfd50153a2e9476f93e33e30e922cd06,3805902a-d2fa-4c4b-8c15-6e888a543d7c,10.12.170.223/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,c23eddea-9f07-4386-829f-21e88a0317b3,,,,,DOWN,5825
98333a1a28e746fa8c629c83a818ad57,3efe07ab-164c-48d6-8ded-7539c4b88d73,10.254.208.110/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,291c261b-f388-4f49-b556-0fa4c4d2dbab,4de74bdc-9b15-425b-a7b2-5241e0cb77c5,10.92.93.246/8,9ff894ce-d884-46fd-9c47-c5fb7d6fb933,,ACTIVE,21155
bfd50153a2e9476f93e33e30e922cd06,473009ff-bbc9-49fd-a2c0-12ec68185f38,10.40.112.172/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,f87e7488-3357-4869-b4d4-b7c7b3850fb5,719c6ad3-5352-44ab-8414-c0e790ab52ce,10.198.158.49/8,fa95b6df-6eef-49a9-a7df-753eeb99c527,,ACTIVE,21240
bfd50153a2e9476f93e33e30e922cd06,4d05a4fa-305e-490b-898b-802584b092c2,10.98.1.221/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,bdda1265-f1fb-4671-96e4-40fca51b1829,b85cba43-623e-4983-abfc-3b1ef8d52f03,10.66.46.213/8,a154bb98-4a0d-4a6c-bcfa-e1afb65ce71e,,ACTIVE,21393
e3fb2659584e436a832461dac02835f0,662bc24d-f026-4359-8b48-0c365fd08038,10.133.54.6/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,85e5f67f-605d-4600-a361-7e4c4f187d07,,,,,DOWN,49572
bfd50153a2e9476f93e33e30e922cd06,66f229e3-ea8a-45a7-a14d-0ec0a520fcfb,10.181.157.69/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,8d12de43-280a-4711-8db2-c5cfd03a8097,6ce29c77-5c0c-4565-a344-fb0a20069624,10.131.164.126/8,a154bb98-4a0d-4a6c-bcfa-e1afb65ce71e,,ACTIVE,20359
98333a1a28e746fa8c629c83a818ad57,7b199f56-890b-4089-aa57-694370403856,10.51.1.61/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,aa5970cc-892b-4783-8d21-24775d2b3faa,0f528984-32f5-42cc-8300-7891a95de4b2,10.163.134.148/8,71e9342c-dd51-4f9d-843d-892285bff645,,ACTIVE,21205
e3fb2659584e436a832461dac02835f0,84b503c0-9cf2-4155-98e5-5868703ac6f2,10.37.254.28/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,e4961a83-21c2-446b-8964-84460741fbb8,,,,,DOWN,49574
e3fb2659584e436a832461dac02835f0,8a8be898-2c42-4f84-988b-70c3ef6e5314,10.215.200.86/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,37a6e43d-2549-4120-bb23-38e626fda88c,,,,,DOWN,49568
bfd50153a2e9476f93e33e30e922cd06,9179cd12-0bd5-4732-a977-fcb0c407129b,10.55.43.246/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,38f188f4-5425-4002-9f40-39b32a565af9,,,,,DOWN,21114
e3fb2659584e436a832461dac02835f0,92bac5cd-1693-403d-8d9e-933372d6d20d,10.36.18.148/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,90f27c67-1250-4cd6-a5d7-479045272a7e,,,,,DOWN,49562
98333a1a28e746fa8c629c83a818ad57,94fa1628-d9c7-4cfc-9c7a-c860bbd47871,10.100.160.182/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,5d554162-b956-4aec-b9d1-fca4313bd5a4,,,,,DOWN,20403
98333a1a28e746fa8c629c83a818ad57,a8dd8e35-0308-4512-8f0f-801c32a9be2c,10.136.94.123/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,ae4b5584-c8a9-4903-a0cd-9e493d392ddb,6e3ad94d-2fc1-4725-b2a7-c56649d13817,10.71.60.243/8,9ff894ce-d884-46fd-9c47-c5fb7d6fb933,,ACTIVE,21209
e3fb2659584e436a832461dac02835f0,b37515d5-6cbf-43ce-989c-3edae593f2ec,10.86.55.209/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,c463e7aa-2010-4e56-b019-d92115d8702e,,,,,DOWN,49564
98333a1a28e746fa8c629c83a818ad57,be990b90-7b4d-47bf-bfd9-2f974e8f8b16,10.244.27.92/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,68991112-d3da-4c98-baa0-75aec23f943f,,,,71e9342c-dd51-4f9d-843d-892285bff645,DOWN,48335
bfd50153a2e9476f93e33e30e922cd06,c7857c4a-f1cc-41b2-98a3-33524b72c9a1,10.188.201.137/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,dd318692-8704-486b-af40-0378fd41bf3d,6c01c261-75db-4ba0-9426-b6aae8b24050,10.67.41.78/8,fa95b6df-6eef-49a9-a7df-753eeb99c527,,ACTIVE,21330
bfd50153a2e9476f93e33e30e922cd06,ccedb97e-8f9a-41ae-ab57-52eb8526da96,10.55.217.251/8,8ad137b5-cc2b-44c7-9db0-e4f81d978d0c,ba1695f6-aaf4-42cb-bfeb-b2e313479f4f,1ad79ec8-e474-4e47-b6ac-8172c0bc864d,10.220.221.69/8,8f10910e-4827-4528-9d63-501ef1e25ffa,,ACTIVE,24320
