tenant_id,id,name,network_id,mac_address,admin_state_up,status,device_id,device_owner,dns_name,standard_attr_id
e7e8e8eca25741c8abc96fc07a103b94,000a1fab-1d06-449d-a126-fd838e023596,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:3c:e3:07,1,DOWN,9b65e785-2a8f-4e6c-8dc7-54d94f0f1e93,compute:nova,,36812
d09e84d9274e406a8a8f8efe08b2af93,0012b1a9-8387-4c17-8578-755f5984aec4,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:7f:0f:45,1,DOWN,624f304e-96c3-4251-b45f-3eb281929b4a,compute:nova,,1
17ea94ad74b64b9d92f4888336a598c7,00167498-2a08-49f1-932e-6d329fb8d469,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:e6:a6:be,1,DOWN,bca15c58-91d5-4318-b781-4b3e2dae8142,compute:None,,6678
d3ac3958f14941cdb205e76ba43bbe49,002abd1b-ea0c-4d24-8813-de12b56314c3,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:b1:66:06,1,DOWN,f19e6256-f87c-48a0-beef-353e9f45a9f8,compute:None,,45267
e3fb2659584e436a832461dac02835f0,0036e9ca-2908-40a9-8c5b-49ae337fd939,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:36:d0:d2,1,ACTIVE,99efa07f-fb5b-40f0-b891-c2e072e14369,compute:nova,,64769
9c982b4e161647ddb5f8637ac9eb551d,003b4cf8-a0fe-4143-908c-9098683cd970,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:7f:69:08,1,DOWN,b9dbcea6-4683-4f63-9aca-d02fe78e8650,compute:nova,,25136
98333a1a28e746fa8c629c83a818ad57,00445690-c2e8-4bdb-9409-1db6a7261ab5,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:94:63:76,1,DOWN,6537b012-033c-4b9a-8515-26cfa8301d19,compute:nova,,21130
17ea94ad74b64b9d92f4888336a598c7,005469f5-0561-4c8b-8c5a-15a0dcf0d2cb,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:c2:eb:90,1,DOWN,ed827170-4fce-4814-8667-8cd08adfcffa,compute:None,,6610
70b2507b8cc44fcb917ddfb85f5079d9,006c2eae-19b1-4fa8-9ddf-6709af52fe4e,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:68:a3:57,1,DOWN,a18dd73e-5b5a-437c-8ad2-8072138d7c1f,compute:None,,4
3008a142e9524f7295b06ea811908f93,0083f258-2de3-44a0-9e57-97a391c09f4b,,0a1d0a27-cffa-4de3-92c5-9d3fd3f2e74d,fa:16:3e:18:19:ab,1,DOWN,4150530b-4b10-45dd-9ca8-e33a698d3139,compute:None,,15545
