router_id,distributed,service_router,ha,ha_vr_id,availability_zone_hints
0d643319-9537-413e-ac52-3fca261c0a47,0,0,0,0.0,[]
2a0da151-bbe4-433d-bac8-ba79d5139b73,0,0,0,0.0,
30029469-c5b0-49f3-9f7e-a74a592b7d82,0,0,0,0.0,[]
40d3572b-5886-4c25-a737-feaf69fecad0,0,0,0,0.0,[]
4559012e-99c1-4d89-9084-30387fc41a5c,0,0,0,,
611b1438-7ede-437c-864d-e25bd30c03d4,0,0,0,0.0,
713a3804-4653-4088-9f39-4ca00c7f27de,0,0,0,0.0,
71e9342c-dd51-4f9d-843d-892285bff645,0,0,0,0.0,[]
749033ea-144e-41c9-8fdf-ffa4da3519a4,0,0,0,0.0,[]
76f35845-0279-4b3f-93a7-f9ef40922a1a,0,0,0,0.0,[]
8a4ce760-ab55-4f2f-8ec5-a2e858ce0d39,0,0,0,,
8f10910e-4827-4528-9d63-501ef1e25ffa,0,0,0,0.0,[]
93d59217-82e9-4e14-a893-8da557a2efcc,0,0,0,0.0,[]
98b72d01-9b50-4662-9d36-9482b39843a0,0,0,0,,
9f198365-29e5-46f3-909a-b6ac330c8ac9,0,0,0,0.0,[]
9ff894ce-d884-46fd-9c47-c5fb7d6fb933,0,0,0,0.0,[]
a154bb98-4a0d-4a6c-bcfa-e1afb65ce71e,0,0,0,0.0,[]
ae3e52b8-565b-498b-a202-094add19c61c,0,0,0,0.0,
ae4709ed-52bb-4b9e-adb2-3f750b45171c,0,0,0,0.0,
bf2b95af-46a1-4f36-8ad2-06f0b2c94a82,0,0,0,0.0,
c0cb59de-2827-41b8-b9ec-23cf0fb9fda3,0,0,0,,
ddc57ccc-6401-4e3d-ae23-34bfa8966335,0,0,0,0.0,[]
e0082509-7e89-4959-bf0c-b8c8b2acf639,0,0,0,0.0,[]
e10a8573-7b74-4a21-b9ce-eaf66bf58279,0,0,0,0.0,[]
e35f6c43-bbe9-496b-ad28-3a04e849c81a,0,0,0,,
e5c87824-30c4-4806-9cea-7a79605f0408,0,0,0,0.0,[]
fa95b6df-6eef-49a9-a7df-753eeb99c527,0,0,0,0.0,[]
