id,tenant_id,resource,limit
000b6534-5f26-4774-b65a-d5c4cb034ecb,22198a26210d4204978593a6c1a4cfdb,floatingip,0
002ac7a9-6eeb-4371-b33b-b4dadc66e2d5,09ad05432f914e26bc417bf58f1cb4d2,security_group_rule,-1
003940eb-9611-425c-a959-7ff93d5d350c,e3fb2659584e436a832461dac02835f0,network,10
00436112-84e4-404a-b784-1aa5531a2efd,ba36b1b9ecde479f92dc62fe0c0f49e9,network,10
0056488f-88c4-42c2-abfe-72ca99b320e0,2e10d2186b23471d94f6f465d49b8581,port,-1
00d6aab5-fa91-4feb-82d2-97f9d4d95a22,2225894827c04000a2b8e087256dacc7,network,10
014fdc7c-62a3-470b-85d4-8ab23c634911,939a950b58f140b695f0da6c200e805c,network,10
015a30db-a9fd-4304-9d47-8cb57221dae2,db2eed6127444168be1318288a3078a4,security_group,-1
018c35b0-bc24-4354-becf-55f1765cf1f2,8a226d87e9ed417abb21d0f95b56b51f,security_group,-1
019a90a3-5eb1-479b-bbe7-1b00463027f0,cfcf7f3db6e34a93a3a79ab6b915920e,router,-1
01a0b758-c03a-464d-9278-8120d5823092,b3c6072810a24f67a7ac48e49a960e51,router,10
01a20cc4-9bc4-48f0-8c04-a80c924ea9d7,3f57747799034e2bb32f630d9ed9fa87,subnet,10
02040868-0884-416c-b9f1-c0ebebc45944,b3e261a7e7ee411480c05c1deec17181,port,-1
022e9020-d200-4c18-a957-14310e9c02e4,485672a6ccf24cd09bdca860e85b7916,router,10
023f8584-8d6c-422d-bc88-9c9e63b26d51,5d5966b038e347a58022e63db912366e,floatingip,0
023fb2b3-a6b0-4e11-b601-50f17cab64e0,a98357e62dda44f5926825a4c72e3baa,subnet,10
024b3546-00ba-4e16-b701-f6b54c1d83ad,1124c2b7959f4101a662875fd5581c19,security_group_rule,-1
028339a9-0136-45a9-91b8-6efde4c3ff20,71b536cff28f4bb4955145afb68bff5b,network,10
02a3d493-c7df-4e50-ba5e-7a426e5c671b,3be6c8b9f95842198466a9c673404768,floatingip,0
02ca3c85-ace8-40d2-815c-2ce5cb6b661f,62f1bd6e54e141f6abc0e78e51415269,port,-1
0329c6be-ee58-4d8f-bf96-ebe2648ebeb6,05001dd7e5be45ef8b1c7a54fa56c15e,floatingip,0
0358ca16-4573-4871-8bfa-52e6bbdddfd4,dba6cc0fec6845a58f4dd5e84ef8dca5,security_group,-1
03884b4e-2a60-4584-8588-b791b2ab2d2a,a851fb33992b46aa8d8c3ff00841815b,security_group,-1
039a8613-a5ac-4426-856b-ce455f9a03c9,2678861fab3d40b6bd0d3e133259c6aa,floatingip,0
03da39ad-d0c5-4d2e-8bfc-cb9f816d0e30,db95ae8358bd4566ba2e38702a128b6b,floatingip,0
0423d4f7-21ec-4be8-ab26-f2dae48dd560,45e6331702f44d448ec7d997e983b081,subnet,10
043dc66c-0b20-4fe6-9c73-4b13cd02865f,de0d86c73e964a7287420a88a7c1d0f5,security_group_rule,-1
045a70cc-de27-40b6-8e02-7d112a2ea435,d7d16dd7c387425b80c001832884b6de,router,10
046e1fc3-6b02-4fce-a4ec-55fdcee10036,8514ce71165744a993b4c924324707b3,floatingip,0
04710584-9682-474c-9b3b-1cc65e9abc33,e35252bd62054360b6662052e960cf81,port,-1
0479c74b-d255-41c6-b9c2-ad6c5f8d31f0,060d1fbdb3d94a22b10f4c002ce22260,security_group_rule,-1
0488d4a3-034d-4cc4-9a68-dbb2471f882d,bcb4a0fc940d40af9d8f1519485334d2,floatingip,0
04a2f76f-cef8-430c-be44-7ae26843c478,5fb2df3c80e843bfa7b2867a83cbc3e4,port,-1
04a371e4-7ca8-49de-b9fc-d5589c5c755e,46d3dc9675e84bd8a732303d73019d25,port,-1
04c391e2-2bcd-4e4b-a2fb-7c425203ce0f,6621440b59694e8996f41249ec11d51a,router,-1
04c80763-6e97-4689-9b7d-10ca55d4c9a8,22198a26210d4204978593a6c1a4cfdb,port,-1
050d197d-cb39-42d9-b2a0-2c0cd907593d,f3626e2acc1843b19929d0332d97f306,security_group,-1
05184a4e-b4b1-4260-b10f-b11cb7e57a13,060d1fbdb3d94a22b10f4c002ce22260,subnet,10
05306499-d869-4941-a9e1-5aba28e7f45c,4e7e31906cfd496b82a9ea5d2edb8dab,floatingip,0
05bb85e7-30eb-4bda-9d12-9f583e4a25f2,d6d9b079e28d4cf29d5aebac75016918,security_group_rule,-1
05ff28d1-6987-4608-a256-f6c1928f04e1,54c41077af3d4b758487a809ade2b055,port,-1
06195ffc-184c-4491-9d4f-a1605e27de44,de0d86c73e964a7287420a88a7c1d0f5,router,10
062ed4ef-90f5-460a-9468-7e2784e09434,da4266d0e4f24017b0dc114ea64ad422,network,10
06542278-1a74-436d-8b83-97d0cda188da,717cc16840494e8795e2ee25c46fe797,network,10
068672b4-e8f6-4ffb-8403-1cb38fae7f47,f3626e2acc1843b19929d0332d97f306,floatingip,0
06da4877-0e57-4652-81a8-b2ef0d12f0d6,6f9adccbd03e4d2186756896957a14bf,port,-1
06efac8f-49f0-459b-8bff-6db692974ae1,060d1fbdb3d94a22b10f4c002ce22260,port,-1
07069fa4-2c4b-42b0-af73-57b2a73c6dce,17ea94ad74b64b9d92f4888336a598c7,floatingip,0
071fc515-76ba-4398-9c53-72091fadfd0d,292c70904ce7415c8626f801bbf1ed0c,router,10
076e23ea-1461-4065-a9ae-fc68f3feab10,-1,rbac_policy,1
07935f23-085a-4b5e-ad56-0a9cd25a53a0,4e101cf5264b4e739b7b5ebe0f6b5c68,floatingip,0
08182e72-f339-41bb-a719-0b7e11a88f1f,2fcb36773f3942378a17ae7c968e3c5d,security_group_rule,-1
082f6a2c-9bbe-44d1-9930-e52fae5d3852,7405f9b06504483996558c9f3c355149,subnet,10
08457182-028b-4ceb-bcce-718e6863ec4e,190ad02e1faa494a8ab7153c6d2e56c1,router,10
08a710e8-b880-4bd0-9803-61179b1706ed,753d0f0bffff43b7b551111150ca7bfb,security_group_rule,-1
08ba4515-8133-494f-bb62-6a0670218062,13f933736c0c41fbae7e8dbcb3b264f7,router,10
08c52f89-2431-48a5-a929-cdf86751bcd3,292c70904ce7415c8626f801bbf1ed0c,security_group,-1
092015db-c64f-4405-81ea-37a6452c3983,79e7152a532a4826b5066311952fddf8,security_group_rule,-1
0949e9d3-22d9-4778-974d-7f0077e3bee1,d60e461ee9034977b4717d79bba2f77e,port,-1
095341e2-61fd-453d-b54a-d5e3967c09f1,4f5d702fa8674268be123e7df3eb9faa,security_group_rule,-1
09a3971a-2ee9-4870-a92e-52d1d9493e8e,d7abb5f8e61a48e1a411b07aa2aeb152,router,10
09dd58bf-e474-45eb-a4cb-f144d3f3345f,d1f6265b0a204448baba3db8ca0db737,router,10
0a5f5c8b-4b7f-47e7-bd0b-4859a85fd5d9,a51d86f76bc640c2b9c892c63bff688b,floatingip,0
0a83c3bc-9fe1-4a1f-bf12-6050225d8894,9115a38ce1834457be65c4801d47113b,network,10
0a8ecc48-e2bc-40f5-9b1e-1ec2b6b0d978,9640284013ec4518812fd016846f8da9,port,-1
0a96b5a3-f921-4b96-9ae7-a9d3de2585ce,7691c9955ce1444ab366d041f5bdf33c,floatingip,0
0adc6177-e5ba-4882-b42c-7307c63c9183,5243327073fe4f2ba20f90ff315d3bdd,security_group_rule,-1
