port_id,host,level,driver,segment_id
000a1fab-1d06-449d-a126-fd838e023596,drive-59,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
0012b1a9-8387-4c17-8578-755f5984aec4,prime5-78,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
00167498-2a08-49f1-932e-6d329fb8d469,ether1-87,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
002abd1b-ea0c-4d24-8813-de12b56314c3,flux-60,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
0036e9ca-2908-40a9-8c5b-49ae337fd939,light9-56,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
003b4cf8-a0fe-4143-908c-9098683cd970,glyph1-33,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
00445690-c2e8-4bdb-9409-1db6a7261ab5,shine-94,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
005469f5-0561-4c8b-8c5a-15a0dcf0d2cb,drift-42,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
006c2eae-19b1-4fa8-9ddf-6709af52fe4e,radar1-79,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
0083f258-2de3-44a0-9e57-97a391c09f4b,axis-11,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
008bd627-7551-4e82-9813-511e48e23169,blaze8-12,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
00a20edb-4dee-4a1a-839f-93b092072d67,beam8-22,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
00ab2588-cc33-4c47-85e6-cad79620b478,zeph-15,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
00bfc1ee-95a4-477f-8ade-c90b238dc37c,glint5-47,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
00dcd118-eaaa-4859-a1a4-62e45814a937,shine-94,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
00fc3f72-5c2b-40cc-87e1-2b2c579c82c6,blaze8-12,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
0107d9da-752e-4f0f-8a64-83d6922312f1,forge-23,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
010bef2b-07d0-4b73-be42-903c3d1ab999,blaze8-12,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
01191ef1-8cae-4e2e-851c-fb75e780e1b0,forge-23,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
01207908-d7f4-46f4-977c-c7a75cb35d0a,flash-9,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
0137fc22-db66-4c12-811c-9da6b309167c,prime-35,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
01388aad-e590-4686-9f4a-bce0b168a15c,flash4-74,0,openvswitch,40c56f51-8c44-4d82-8369-d065010ed91a
